complaint_text,category
Garbage has not been collected from the hospital for evening.,garbage
"Construction waste has been dumped near the school, blocking a drain.",roads
Piles of trash are blocking the hospital.,garbage
"Construction waste has been dumped near the hospital, blocking a drain.",roads
Garbage not collected from school for 4 days,garbage
No electricity since night in market,electricity
Construction material has been left blocking the road at the park.,roads
Garbage has not been collected from the market for 2 days.,garbage
No drinking water in lane,water
A large pothole at the station is filled with dirty water and garbage.,roads
Street light not working in main road,electricity
Constant water leakage has completely destroyed the pavement near the park.,water
Stray animals are scattering trash all over the bus station.,garbage
"A fallen street light damaged the pavement at the hospital, blocking traffic.",electricity
Road completely flooded after rain in colony,roads
The dustbin near the school is overflowing with trash.,garbage
No drinking water in station,water
The street light at the temple has not been working since yesterday.,electricity
The dustbin near the temple is overflowing with refuse.,garbage
"Construction waste has been dumped near the main road, blocking a drain.",roads
The stench from the uncollected garbage and blocked drain at the station is unbearable.,garbage
Garbage has not been collected from the park for yesterday.,garbage
Illegal parking next to the overflowing dustbin at the market is creating a huge mess.,other
Noise pollution issue near school,other
"A fallen street light damaged the footpath at the main road, blocking traffic.",electricity
The dustbin near the temple is overflowing with rubbish.,garbage
Stray animals pulling out garbage at main road,garbage
Stray animals are scattering refuse all over the temple.,garbage
The street light at the park has not been working since 2 days.,electricity
Pipeline leakage flooding the main road,water
Overflowing dustbin near market,garbage
A major pipeline leakage is flooding the market.,water
Damaged footpath at colony,roads
"Construction waste has been dumped near the school, blocking a drain.",roads
Frequent power cuts in a residential colony.,electricity
There has been no drinking water in the park since night.,water
Constant water leakage has completely destroyed the road near the station.,water
Illegal parking next to the overflowing dustbin at the station is creating a huge mess.,other
The stench from the uncollected garbage and blocked drain at the school is unbearable.,garbage
Sewage water mixing with supply in lane,water
Street light not working in station,electricity
"A fallen street light damaged the pavement at the park, blocking traffic.",electricity
A burst water pipeline has created a massive pothole at the school.,water
"Construction waste has been dumped near the school, blocking a drain.",roads
The street light at the school has not been working since yesterday.,electricity
Illegal parking next to the overflowing dustbin at the main road is creating a huge mess.,other
The dustbin near a residential colony is overflowing with waste.,garbage
There has been no drinking water in the park since a week.,water
A major pipeline leakage is flooding the main road.,water
A burst water pipeline has created a massive pothole at the park.,water
There has been no drinking water in a residential colony since a week.,water
Garbage not collected from market for 2 days,garbage
Garbage not collected from main road for 4 days,garbage
"Construction waste has been dumped near the main road, blocking a drain.",roads
Noise pollution issue near station,other
Road completely flooded after rain in market,roads
Garbage scattered on road near hospital,garbage
Exposed electric wires are a hazard at the temple.,electricity
Piles of rubbish are blocking a residential colony.,garbage
Piles of rubbish are blocking the park.,garbage
Frequent power cut in temple,electricity
The road surface is badly damaged near the hospital.,roads
Illegal parking at the temple is causing severe traffic jams.,other
The tap water supplied to a residential colony is muddy and smells bad.,water
Constant water leakage has completely destroyed the road near the park.,water
Stray animals are scattering trash all over the market.,garbage
A large pothole at the station is filled with dirty water and garbage.,roads
A large pothole at the main road is filled with dirty water and garbage.,roads
Open manhole near school,other
"Construction waste has been dumped near the station, blocking a drain.",roads
Piles of refuse are blocking the temple.,garbage
Illegal parking at the main road is causing severe traffic jams.,other
"A fallen street light damaged the pavement at the market, blocking traffic.",electricity
Overflowing dustbin near station,garbage
A major pipeline leakage is flooding a residential colony.,water
Illegal parking next to the overflowing dustbin at the hospital is creating a huge mess.,other
Constant water leakage has completely destroyed the pavement near the park.,water
A broken speed breaker at the main road is causing accidents.,roads
There has been no drinking water in the market since morning.,water
Electric wires hanging dangerously at hospital,electricity
A major pipeline leakage is flooding the temple.,water
A large pothole at the market is filled with dirty water and garbage.,roads
Constant water leakage has completely destroyed the footpath near the hospital.,water
Garbage scattered on road near temple,garbage
Street light not working in market,electricity
There are multiple large potholes on the road at the market.,roads
Overflowing dustbin near hospital,garbage
"Construction waste has been dumped near the park, blocking a drain.",roads
Stray animals pulling out garbage at park,garbage
A large pothole at the hospital is filled with dirty water and garbage.,roads
Illegal parking next to the overflowing dustbin at the station is creating a huge mess.,other
Illegal parking next to the overflowing dustbin at the school is creating a huge mess.,other
Drainage system blocked causing foul smell at hospital,other
A burst water pipeline has created a massive pothole at the school.,water
The dustbin near the hospital is overflowing with waste.,garbage
Illegal parking next to the overflowing dustbin at the market is creating a huge mess.,other
The road surface is badly damaged near the market.,roads
Piles of refuse are blocking the main road.,garbage
A major pipeline leakage is flooding the bus station.,water
Piles of refuse are blocking the hospital.,garbage
Illegal parking next to the overflowing dustbin at the market is creating a huge mess.,other
"Construction waste has been dumped near the hospital, blocking a drain.",roads
A burst water pipeline has created a massive pothole at the park.,water
A burst water pipeline has created a massive pothole at the school.,water
There is a serious noise pollution issue near the main road.,other
Piles of waste blocking market,garbage
Workers fixing a power line have dug up the road at the school and left it.,electricity
Damaged footpath at park,roads
"Construction waste has been dumped near the school, blocking a drain.",roads
Road completely flooded after rain in lane,roads
Constant water leakage has completely destroyed the footpath near the main road.,water
The stench from the uncollected garbage and blocked drain at the school is unbearable.,garbage
Frequent power cut in lane,electricity
The dustbin near the market is overflowing with trash.,garbage
The tap water supplied to the school is muddy and smells bad.,water
"A fallen street light damaged the road at the main road, blocking traffic.",electricity
We suspect sewage is mixing with the water supply in the market.,water
Damaged footpath at station,roads
Illegal parking next to the overflowing dustbin at the station is creating a huge mess.,other
Broken speed breaker near school,roads
A burst water pipeline has created a massive pothole at the market.,water
Stray animals are scattering refuse all over the main road.,garbage
"Construction waste has been dumped near the main road, blocking a drain.",roads
Broken speed breaker near market,roads
Tap water is muddy and dirty at colony,water
We suspect sewage is mixing with the water supply in the school.,water
A large pothole at the market is filled with dirty water and garbage.,roads
Water supply has stopped since yesterday in park,water
Garbage has not been collected from the main road for morning.,garbage
There are multiple large potholes on the road at the park.,roads
We suspect sewage is mixing with the water supply in a residential colony.,water
No electricity since night in temple,electricity
The street light at the bus station has not been working since 2 days.,electricity
The road surface is badly damaged near a residential colony.,roads
Pipeline leakage flooding the temple,water
Water supply has stopped since evening in market,water
Stray animals are scattering waste all over the market.,garbage
There are multiple large potholes on the road at the bus station.,roads
Illegal parking next to the overflowing dustbin at the school is creating a huge mess.,other
Garbage scattered on road near bus stand,garbage
Water supply has stopped since yesterday in station,water
Constant water leakage has completely destroyed the pavement near the park.,water
An open manhole at the hospital is a major safety risk.,other
The street light at the hospital has not been working since night.,electricity
There is a serious noise pollution issue near the hospital.,other
The pavement is badly damaged near the park.,roads
Illegal parking causing traffic jam at main road,other
Drainage system blocked causing foul smell at lane,other
Stray animals are scattering refuse all over the school.,garbage
Park lights not working properly in station,other
Workers fixing a power line have dug up the road at the school and left it.,electricity
"Construction waste has been dumped near the station, blocking a drain.",roads
A large pothole at the park is filled with dirty water and garbage.,roads
Electric wires hanging dangerously at main road,electricity
Construction material blocking road at hospital,roads
Electric wires hanging dangerously at lane,electricity
No electricity since night in station,electricity
Water supply has stopped since morning in station,water
Water supply has stopped since morning in hospital,water
There is a serious noise pollution issue near the school.,other
Transformer sparking at night near hospital,electricity
Garbage scattered on road near school,garbage
Overflowing dustbin near temple,garbage
Pipeline leakage flooding the bus stand,water
Garbage has not been collected from the park for 2 days.,garbage
Stray animals are scattering trash all over the main road.,garbage
Piles of trash are blocking the park.,garbage
A burst water pipeline has created a massive pothole at the hospital.,water
Illegal parking next to the overflowing dustbin at the main road is creating a huge mess.,other
Piles of trash are blocking a residential colony.,garbage
A burst water pipeline has created a massive pothole at the park.,water
Workers fixing a power line have dug up the footpath at the park and left it.,electricity
Constant water leakage has completely destroyed the road near the station.,water
A large pothole at the market is filled with dirty water and garbage.,roads
The street light at a residential colony has not been working since yesterday.,electricity
"Construction waste has been dumped near the station, blocking a drain.",roads
Constant water leakage has completely destroyed the road near the station.,water
Frequent power cut in colony,electricity
There has been no drinking water in the market since a week.,water
Illegal parking causing traffic jam at lane,other
Broken speed breaker near colony,roads
The street light at the bus station has not been working since a week.,electricity
The stench from the uncollected garbage and blocked drain at the station is unbearable.,garbage
There are multiple large potholes on the road at the school.,roads
No drinking water in park,water
Potholes on the main road at lane causing accidents,roads
Frequent power cut in station,electricity
Garbage has not been collected from a residential colony for morning.,garbage
A burst water pipeline has created a massive pothole at the main road.,water
The stench from the uncollected garbage and blocked drain at the main road is unbearable.,garbage
There has been no drinking water in the temple since 2 days.,water
Exposed electric wires are a hazard at the school.,electricity
A large pothole at the market is filled with dirty water and garbage.,roads
Illegal parking at the park is causing severe traffic jams.,other
Illegal parking at the school is causing severe traffic jams.,other
A large pothole at the market is filled with dirty water and garbage.,roads
Water supply has stopped since night in lane,water
The drainage system at the bus station is completely blocked.,other
Noise pollution issue near market,other
A large pothole at the school is filled with dirty water and garbage.,roads
Illegal parking next to the overflowing dustbin at the hospital is creating a huge mess.,other
We suspect sewage is mixing with the water supply in the hospital.,water
The street light at the temple has not been working since night.,electricity
No drinking water in hospital,water
Potholes on the main road at colony causing accidents,roads
Piles of waste are blocking the hospital.,garbage
Stray animals pulling out garbage at station,garbage
Tap water is muddy and dirty at lane,water
A broken speed breaker at the bus station is causing accidents.,roads
Road completely flooded after rain in bus stand,roads
Frequent power cuts in the hospital.,electricity
Exposed electric wires are a hazard at the hospital.,electricity
The stench from the uncollected garbage and blocked drain at the hospital is unbearable.,garbage
"Construction waste has been dumped near the school, blocking a drain.",roads
Illegal parking next to the overflowing dustbin at the market is creating a huge mess.,other
Frequent power cuts in the park.,electricity
Water supply has stopped since evening in temple,water
Construction material blocking road at temple,roads
Noise pollution issue near lane,other
The pavement is badly damaged near the school.,roads
Transformer sparking at night near market,electricity
Park lights not working properly in lane,other
Stray animals are scattering rubbish all over the main road.,garbage
There has been no drinking water in the park since 2 days.,water
Workers fixing a power line have dug up the road at the market and left it.,electricity
No electricity since evening in temple,electricity
Illegal parking next to the overflowing dustbin at the market is creating a huge mess.,other
The stench from the uncollected garbage and blocked drain at the market is unbearable.,garbage
The street light at the market has not been working since a week.,electricity
The stench from the uncollected garbage and blocked drain at the market is unbearable.,garbage
Illegal parking next to the overflowing dustbin at the hospital is creating a huge mess.,other
Workers fixing a power line have dug up the pavement at the market and left it.,electricity
Piles of refuse are blocking a residential colony.,garbage
"A fallen street light damaged the footpath at the hospital, blocking traffic.",electricity
Constant water leakage has completely destroyed the footpath near the park.,water
"A fallen street light damaged the pavement at the hospital, blocking traffic.",electricity
A transformer is sparking dangerously near the temple.,electricity
Potholes on the main road at temple causing accidents,roads
Construction material blocking road at main road,roads
Water supply has stopped since morning in market,electricity
Water supply has stopped since yesterday in bus stand,water
No electricity since night in lane,electricity
There is a serious noise pollution issue near the market.,other
"Construction waste has been dumped near the school, blocking a drain.",roads
Garbage has not been collected from the temple for morning.,garbage
Piles of waste are blocking the school.,garbage
Transformer sparking at night near main road,electricity
Construction material blocking road at lane,roads
There has been no drinking water in the bus station since a week.,water
Electric wires hanging dangerously at temple,electricity
Construction material blocking road at park,roads
Piles of waste are blocking a residential colony.,garbage
A major pipeline leakage is flooding the school.,water
Water supply has stopped since yesterday in temple,water
Potholes on the main road at station causing accidents,roads
Drainage system blocked causing foul smell at bus stand,other
Frequent power cut in park,electricity
Road completely flooded after rain in hospital,roads
An open manhole at the market is a major safety risk.,other
Garbage has not been collected from a residential colony for yesterday.,garbage
Constant water leakage has completely destroyed the footpath near the station.,water
A large pothole at the market is filled with dirty water and garbage.,roads
A large pothole at the school is filled with dirty water and garbage.,roads
Workers fixing a power line have dug up the pavement at the market and left it.,electricity
Piles of waste blocking school,garbage
"Construction waste has been dumped near the school, blocking a drain.",roads
Electric wires hanging dangerously at park,electricity
Street light not working in hospital,electricity
Garbage not collected from colony for 3 days,garbage
Water supply has stopped since night in temple,water
Workers fixing a power line have dug up the road at the hospital and left it.,electricity
No electricity since morning in colony,electricity
Illegal parking next to the overflowing dustbin at the park is creating a huge mess.,other
No drinking water in main road,water
The street light at a residential colony has not been working since evening.,electricity
"Construction waste has been dumped near the hospital, blocking a drain.",roads
Constant water leakage has completely destroyed the road near the school.,water
Piles of rubbish are blocking the main road.,garbage
The footpath is badly damaged near a residential colony.,roads
The stench from the uncollected garbage and blocked drain at the hospital is unbearable.,garbage
Constant water leakage has completely destroyed the road near the school.,water
An open manhole at the temple is a major safety risk.,other
There has been no drinking water in the main road since 2 days.,water
A burst water pipeline has created a massive pothole at the park.,water
Garbage not collected from temple for 4 days,garbage
Tap water is muddy and dirty at market,water
Illegal parking next to the overflowing dustbin at the market is creating a huge mess.,other
The footpath is badly damaged near the bus station.,roads
Stray animals are scattering rubbish all over a residential colony.,garbage
Pipeline leakage flooding the station,water
"A fallen street light damaged the road at the hospital, blocking traffic.",electricity
The drainage system at the hospital is completely blocked.,other
Tap water is muddy and dirty at bus stand,water
Illegal parking next to the overflowing dustbin at the school is creating a huge mess.,other
Garbage has not been collected from the market for a week.,garbage
Construction material blocking road at school,roads
There has been no drinking water in a residential colony since evening.,water
Constant water leakage has completely destroyed the footpath near the hospital.,water
Constant water leakage has completely destroyed the footpath near the hospital.,water
Workers fixing a power line have dug up the pavement at the market and left it.,electricity
Noise pollution issue near hospital,other
There has been no drinking water in the park since morning.,water
Water supply has stopped since morning in park,water
Exposed electric wires are a hazard at the main road.,electricity
A burst water pipeline has created a massive pothole at the park.,water
The tap water supplied to the bus station is muddy and smells bad.,water
The street light at the market has not been working since yesterday.,electricity
Workers fixing a power line have dug up the road at the hospital and left it.,electricity
A burst water pipeline has created a massive pothole at the hospital.,water
Illegal parking next to the overflowing dustbin at the station is creating a huge mess.,other
A major pipeline leakage is flooding the hospital.,water
The street light at the hospital has not been working since yesterday.,electricity
Stray animals are scattering trash all over the temple.,garbage
The stench from the uncollected garbage and blocked drain at the station is unbearable.,garbage
A major pipeline leakage is flooding the park.,water
The stench from the uncollected garbage and blocked drain at the main road is unbearable.,garbage
Street light not working in bus stand,electricity
The stench from the uncollected garbage and blocked drain at the park is unbearable.,garbage
A large pothole at the main road is filled with dirty water and garbage.,roads
There has been no drinking water in the temple since a week.,water
There are multiple large potholes on the road at a residential colony.,roads
Constant water leakage has completely destroyed the road near the park.,water
The street light at the school has not been working since a week.,electricity
A broken speed breaker at the school is causing accidents.,roads
The dustbin near the bus station is overflowing with rubbish.,garbage
Piles of waste blocking lane,garbage
Tap water is muddy and dirty at main road,water
The street light at a residential colony has not been working since morning.,electricity
Stray animals are scattering waste all over the bus station.,garbage
Tap water is muddy and dirty at school,water
Damaged footpath at school,roads
The drainage system at the temple is completely blocked.,other
"A fallen street light damaged the footpath at the hospital, blocking traffic.",electricity
Workers fixing a power line have dug up the pavement at the park and left it.,electricity
Garbage not collected from bus stand for 5 days,garbage
The drainage system at the main road is completely blocked.,other
Illegal parking next to the overflowing dustbin at the park is creating a huge mess.,other
Garbage has not been collected from the hospital for night.,garbage
"Construction waste has been dumped near the park, blocking a drain.",roads
Street light not working in lane,electricity
Road completely flooded after rain in main road,roads
The drainage system at the school is completely blocked.,other
A large pothole at the market is filled with dirty water and garbage.,roads
"Construction waste has been dumped near the station, blocking a drain.",roads
"A fallen street light damaged the road at the market, blocking traffic.",electricity
Transformer sparking at night near bus stand,electricity
Garbage has not been collected from the park for morning.,garbage
A transformer is sparking dangerously near the bus station.,electricity
Garbage has not been collected from the main road for a week.,garbage
Piles of waste blocking park,garbage
A large pothole at the station is filled with dirty water and garbage.,roads
Construction material has been left blocking the road at the temple.,roads
Pipeline leakage flooding the lane,water
Workers fixing a power line have dug up the road at the main road and left it.,electricity
Illegal parking next to the overflowing dustbin at the park is creating a huge mess.,other
No electricity since night in school,electricity
"A fallen street light damaged the road at the hospital, blocking traffic.",electricity
Stray animals pulling out garbage at hospital,garbage
There has been no drinking water in the hospital since morning.,water
Potholes on the main road at school causing accidents,roads
"Construction waste has been dumped near the market, blocking a drain.",roads
Garbage has not been collected from the bus station for night.,garbage
Stray animals are scattering trash all over the school.,garbage
The drainage system at a residential colony is completely blocked.,other
Illegal parking next to the overflowing dustbin at the park is creating a huge mess.,other
Stray animals are scattering waste all over a residential colony.,garbage
Garbage has not been collected from the bus station for a week.,garbage
A broken speed breaker at the hospital is causing accidents.,roads
Stray animals are scattering rubbish all over the market.,garbage
Stray animals are scattering rubbish all over the school.,garbage
Pipeline leakage flooding the park,water
"A fallen street light damaged the footpath at the hospital, blocking traffic.",electricity
A burst water pipeline has created a massive pothole at the park.,water
Water supply has stopped since evening in main road,water
Constant water leakage has completely destroyed the footpath near the hospital.,water
There has been no drinking water in a residential colony since night.,water
Frequent power cuts in the main road.,electricity
A transformer is sparking dangerously near the school.,electricity
Constant water leakage has completely destroyed the pavement near the station.,water
"A fallen street light damaged the pavement at the market, blocking traffic.",electricity
"A fallen street light damaged the footpath at the market, blocking traffic.",electricity
Workers fixing a power line have dug up the pavement at the station and left it.,electricity
Broken speed breaker near main road,roads
The street light at the park has not been working since a week.,electricity
Piles of rubbish are blocking the bus station.,garbage
Garbage has not been collected from the school for 2 days.,garbage
Exposed electric wires are a hazard at a residential colony.,electricity
Damaged footpath at market,roads
Garbage not collected from park for 2 days,garbage
Workers fixing a power line have dug up the footpath at the market and left it.,electricity
"Construction waste has been dumped near the main road, blocking a drain.",roads
Transformer sparking at night near school,electricity
The dustbin near the park is overflowing with refuse.,garbage
The street light at the main road has not been working since yesterday.,electricity
Noise pollution issue near park,other
Broken speed breaker near station,roads
"A fallen street light damaged the pavement at the park, blocking traffic.",electricity
The stench from the uncollected garbage and blocked drain at the station is unbearable.,garbage
Illegal parking next to the overflowing dustbin at the station is creating a huge mess.,other
Workers fixing a power line have dug up the footpath at the station and left it.,electricity
Illegal parking next to the overflowing dustbin at the hospital is creating a huge mess.,other
Sewage water mixing with supply in colony,water
A burst water pipeline has created a massive pothole at the school.,water
The street light at the park has not been working since night.,electricity
The stench from the uncollected garbage and blocked drain at the hospital is unbearable.,garbage
Water supply has stopped since morning in temple,water
Illegal parking next to the overflowing dustbin at the main road is creating a huge mess.,other
Electric wires hanging dangerously at colony,electricity
Electric wires hanging dangerously at market,electricity
Frequent power cut in bus stand,electricity
An open manhole at a residential colony is a major safety risk.,other
"A fallen street light damaged the pavement at the hospital, blocking traffic.",electricity
A burst water pipeline has created a massive pothole at the station.,water
Garbage not collected from temple for 5 days,garbage
The stench from the uncollected garbage and blocked drain at the park is unbearable.,garbage
Open manhole near lane,other
Garbage not collected from colony for 4 days,garbage
Pipeline leakage flooding the colony,water
Park lights not working properly in hospital,other
No drinking water in temple,water
A burst water pipeline has created a massive pothole at the market.,water
Pipeline leakage flooding the market,water
The stench from the uncollected garbage and blocked drain at the hospital is unbearable.,garbage
Piles of trash are blocking the temple.,garbage
Water supply has stopped since evening in park,water
Frequent power cut in school,electricity
Illegal parking next to the overflowing dustbin at the station is creating a huge mess.,other
No electricity since evening in lane,electricity
Drainage system blocked causing foul smell at park,other
Workers fixing a power line have dug up the pavement at the main road and left it.,electricity
Constant water leakage has completely destroyed the pavement near the main road.,water
"Construction waste has been dumped near the station, blocking a drain.",roads
A transformer is sparking dangerously near a residential colony.,electricity
A burst water pipeline has created a massive pothole at the school.,water
"A fallen street light damaged the road at the hospital, blocking traffic.",electricity
Stray animals pulling out garbage at lane,garbage
Workers fixing a power line have dug up the road at the park and left it.,electricity
"A fallen street light damaged the pavement at the market, blocking traffic.",electricity
Damaged footpath at bus stand,roads
"A fallen street light damaged the pavement at the station, blocking traffic.",electricity
Stray animals are scattering refuse all over a residential colony.,garbage
"A fallen street light damaged the pavement at the station, blocking traffic.",electricity
Overflowing dustbin near lane,garbage
Illegal parking next to the overflowing dustbin at the main road is creating a huge mess.,other
A burst water pipeline has created a massive pothole at the market.,water
The stench from the uncollected garbage and blocked drain at the market is unbearable.,garbage
The footpath is badly damaged near the market.,roads
There are multiple large potholes on the road at the temple.,roads
A large pothole at the main road is filled with dirty water and garbage.,roads
A broken speed breaker at a residential colony is causing accidents.,roads
Sewage water mixing with supply in station,water
The street light at the market has not been working since evening.,electricity
"A fallen street light damaged the pavement at the station, blocking traffic.",electricity
Sewage water mixing with supply in school,water
Stray animals are scattering refuse all over the bus station.,garbage
Water supply has stopped since morning in lane,water
Garbage not collected from bus stand for 2 days,garbage
A burst water pipeline has created a massive pothole at the school.,water
Damaged footpath at temple,roads
"A fallen street light damaged the pavement at the park, blocking traffic.",electricity
"A fallen street light damaged the pavement at the school, blocking traffic.",electricity
The dustbin near a residential colony is overflowing with trash.,garbage
A burst water pipeline has created a massive pothole at the main road.,water
Construction material has been left blocking the road at the bus station.,roads
The street light at the temple has not been working since evening.,electricity
Garbage has not been collected from a residential colony for a week.,garbage
There has been no drinking water in the market since night.,water
Illegal parking next to the overflowing dustbin at the market is creating a huge mess.,other
Piles of waste blocking colony,garbage
A burst water pipeline has created a massive pothole at the school.,water
Illegal parking next to the overflowing dustbin at the market is creating a huge mess.,other
Road completely flooded after rain in station,roads
A burst water pipeline has created a massive pothole at the park.,water
Stray animals pulling out garbage at market,garbage
There are multiple large potholes on the road at the hospital.,roads
Stray animals pulling out garbage at colony,garbage
Constant water leakage has completely destroyed the footpath near the park.,water
A large pothole at the hospital is filled with dirty water and garbage.,roads
Frequent power cuts in the temple.,electricity
The street light at the temple has not been working since 2 days.,electricity
Garbage not collected from park for 3 days,garbage
A transformer is sparking dangerously near the park.,electricity
Constant water leakage has completely destroyed the pavement near the hospital.,water
Illegal parking next to the overflowing dustbin at the market is creating a huge mess.,other
